Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Status
62053325,"Play With Me (Playing for Keeps, #2)",Becka Mack,1778133037,9781778133039,4,4.18,Becka Mack,Kindle Edition,569,2022,2022,4/6/25,4/4/25,read
214787356,"Tryst Six Venom (Tryst Six, #1)",Penelope Douglas,,,0,3.83,Amazon Digital Services,Kindle Edition,589,2021,2021,,4/8/25,currently-reading
231025744,No Save Point,S.L Gray,,,0,3.7,,,,2025,,,4/8/25,to-read
220287670,Kiss the Villain (Villain #1),Rina Kent,,,3,4,"Blackthorn Books, LLC",Kindle Edition,514,2025,2025,4/4/25,2/14/25,read
55076069,People We Meet on Vacation,Emily Henry,,,5,3.85,Berkley Books,Kindle Edition,382,2021,2021,4/3/25,5/2/24,read
200254250,"Goldfinch (The Plated Prisoner, #6)",Raven Kennedy,,,5,4.27,,Kindle Edition,679,2024,2024,4/2/25,3/30/25,read
61314205,"Gold (The Plated Prisoner, #5)",Raven Kennedy,,,4,4.1,,Kindle Edition,646,2023,2023,3/30/25,3/17/25,read
58159316,"Glow (The Plated Prisoner, #4)",Raven Kennedy,,,5,4.13,Raven Kennedy,Kindle Edition,738,2022,2022,3/28/25,3/28/25,read
57214537,"Gleam (The Plated Prisoner, #3)",Raven Kennedy,,,5,4.38,Raven Kennedy,Kindle Edition,674,2021,2021,3/25/25,3/24/25,read
56530123,"Glint (The Plated Prisoner, #2)",Raven Kennedy,,,4,4.16,Raven Kennedy,Kindle Edition,479,2021,2021,3/24/25,3/24/25,read
56483061,"Gild (The Plated Prisoner, #1)",Raven Kennedy,,,4,3.6,Raven Kennedy,Kindle Edition,402,2020,2020,3/23/25,3/21/25,read
210196819,"The Heartbreaker (The Goode Brothers, #3)",Sara Cate,,,3,4.05,,Kindle Edition,362,2024,2024,3/23/25,3/23/25,read
181515980,"The Home Wrecker (The Goode Brothers, #2)",Sara Cate,,,4,4.23,,Kindle Edition,460,2024,2024,3/22/25,3/21/25,read
213435549,Shoot Your Shot,Lexi LaFleur Brown,0369762657,9780369762658,2,3.35,Canary Street Press,Kindle Edition,304,2025,2025,3/21/25,3/20/25,read
222260445,Ice Mechanic,Lia Bevans,,,1,3.62,,Kindle Edition,408,2024,,3/20/25,3/17/25,read
223199392,The Fall Risk,Abby Jimenez,1662529082,9781662529085,5,4.08,Amazon Original Stories,Kindle Edition,81,2025,2025,3/20/25,3/19/25,read
218014044,"Quicksilver (Fae & Alchemy, #1)",Callie Hart,,,4,4.34,Forever,Kindle Edition,615,2024,2024,3/19/25,2/11/25,read
195600527,Anger Banger (Happy Haven #2),S.M. Shade,,,3,4.31,,Kindle Edition,298,2024,,3/17/25,3/17/25,read
203120955,"Fake Around and Find Out (Happy Haven, #1)",S.M. Shade,,,4,4.12,,Kindle Edition,308,2023,,3/17/25,3/16/25,read
60066655,Love on the Brain,Ali Hazelwood,0593336852,,4,3.9,Berkley ,Kindle Edition,368,2022,2022,3/16/25,4/24/24,read
139391940,"The Pumpkin Spice Café (Dream Harbor, #1)",Laurie Gilmore,0008610665,9780008610661,0,3.37,HarperCollins,ebook,373,2023,2023,,3/19/25,currently-reading
62869062,"The Book of Azrael (Gods & Monsters, #1)",Amber V. Nicole,1737706741,9781737706748,0,4.12,Rose & Star Publishing,Kindle Edition,564,2022,2022,,3/19/25,currently-reading
52195137,Beach Read,Emily Henry,,,4,3.98,Berkley,Kindle Edition,400,2020,2020,3/15/25,5/2/24,read
34992981,"Restore Me (Shatter Me, #4)",Tahereh Mafi,0062676385,9780062676382,0,4.14,HarperCollins,Kindle Edition,384,2018,2018,3/18/25,3/1/25,currently-reading
60234419,"Consider Me (Playing For Keeps, #1)",Becka Mack,1778133029,9781778133022,4,3.85,,Kindle Edition,462,2022,2022,3/15/25,3/14/25,read
200436856,"The Au Pair Affair (Big Shots, #2)",Tessa Bailey,0063308444,9780063308442,4,3.59,Avon,Kindle Edition,380,2024,2024,3/14/25,3/13/25,read
199897857,The Paradise Problem,Christina Lauren,,,4,4.07,Gallery Books,Kindle Edition,352,2024,2024,3/13/25,3/12/25,read
59336483,The Love Hypothesis,Ali Hazelwood,,,5,4.11,Berkley,Kindle Edition,383,2021,2021,3/12/25,4/24/24,read
195532965,"Swift and Saddled (Rebel Blue Ranch, #2)",Lyla Sage,059373243X,9780593732434,0,3.9,Dial Press Trade Paperback,Paperback,320,2024,2024,,3/17/25,to-read
212432167,How to End a Love Story,Yulin Kuang,0063310686,9780063310681,0,3.62,Avon,Paperback,384,2024,2024,,3/17/25,to-read
123352788,"Beautiful Fiend (North Shore, #1)",Lola King,1916837026,9781916837027,0,3.8,King & Hunter,Kindle Edition,492,2023,,,3/17/25,to-read
